,Hotel,Resort name,Price,Country
0,"RIMINI NEW CLASSIC LIGHT, HTL CLASSIC 3 *DBL",Классические экскурсионные турыEXCURSION TOURS ITALYАдриатика - Римини,946,Италия
1,MUTACITA (RIMINI) 3 *DBL Standard,Адриатика - РиминиADRIATIC COASTАдриатика - Римини,960,Италия
2,"RIMINI NEW CLASSIC LIGHT, HTL CLASSIC 3 *DBL",Классические экскурсионные турыEXCURSION TOURS ITALYАдриатика - Римини,966,Италия
3,TEZ EXPRESS RIMINI 3* 3 *DBL Standard,Адриатика - РиминиADRIATIC COASTАдриатика - Римини,967,Италия
4,ALL ITALY (RIMINI-RIMINI) 3 *DBL,Классические экскурсионные турыEXCURSION TOURS ITALYАдриатика - Римини,973,Италия
5,TEZ EXPRESS RIMINI 3* 3 *DBL Standard,Адриатика - РиминиADRIATIC COASTАдриатика - Римини,987,Италия
6,CITY EXPRESS RIMINI ECONOMY 2 *DBL,Сити-турыEXCURSION TOURS ITALYАдриатика - Римини,991,Италия
7,MUTACITA (RIMINI) 3 *DBL Standard,Адриатика - РиминиADRIATIC COASTАдриатика - Римини,995,Италия
8,CITY EXPRESS RIMINI ECONOMY 2 *DBL,Сити-турыEXCURSION TOURS ITALYАдриатика - Римини,1 011,Италия
9,"RIMINI NEW CLASSIC LIGHT, HTL CLASSIC+ROME CENTER 3 *DBL",Классические экскурсионные турыEXCURSION TOURS ITALYАдриатика - Римини,1 037,Италия
10,TEZ EXPRESS RIMINI 3* 3 *DBL Standard,Адриатика - РиминиADRIATIC COASTАдриатика - Римини,1 040,Италия
11,RIMINI HIT CLASSIC (SATURDAY) 3 *DBL,Классические экскурсионные турыEXCURSION TOURS ITALYАдриатика - Римини,1 057,Италия
12,"RIMINI NEW CLASSIC LIGHT, HTL CLASSIC+ROME CENTER 3 *DBL",Классические экскурсионные турыEXCURSION TOURS ITALYАдриатика - Римини,1 057,Италия
13,MUTACITA (RIMINI) 3 *DBL Standard,Адриатика - РиминиADRIATIC COASTАдриатика - Римини,1 058,Италия
14,"RIMINI NEW CLASSIC, HTL CLASSIC 3 *DBL",Классические экскурсионные турыEXCURSION TOURS ITALYАдриатика - Римини,1 072,Италия
15,"RIMINI NEW CLASSIC, HTL CLASSIC 3 *DBL",Классические экскурсионные турыEXCURSION TOURS ITALYАдриатика - Римини,1 092,Италия
16,PARCO MARE MONTE (CASAMICCIOLA) 3 *DBL Standard,Остров ИскьяRIVIERA NAPOLETANAНеаполь (Регулярные рейсы),1 096,Италия
17,PARCO MARE MONTE (CASAMICCIOLA) 3 *Mono,Остров ИскьяRIVIERA NAPOLETANAНеаполь (Регулярные рейсы),1 096,Италия
18,"RIMINI NEW CLASSIC LIGHT, HTL CLASSIC 3 *DBL",Классические экскурсионные турыEXCURSION TOURS ITALYАдриатика - Римини,1 107,Италия
19,MUTACITA (RIMINI) 3 *DBL Standard,Адриатика - РиминиADRIATIC COASTАдриатика - Римини,1 108,Италия
20,CITY EXPRESS RIMINI STANDARD 3 *DBL Standard,Сити-турыEXCURSION TOURS ITALYАдриатика - Римини,1 109,Италия
21,TEZ EXPRESS RIMINI 3* 3 *DBL Standard,Адриатика - РиминиADRIATIC COASTАдриатика - Римини,1 114,Италия
22,PARK HOTEL CALITTO (FORIO/PANZA) 3 *DBL Standard,Остров ИскьяRIVIERA NAPOLETANAНеаполь (Регулярные рейсы),1 117,Италия
23,CECCARINI 9 HOTEL (RICCIONE) 3 *DBL,Адриатика - РиччонеADRIATIC COASTАдриатика - Римини,1 120,Италия
24,"RIMINI NEW CLASSIC LIGHT, HTL CLASSIC 3 *DBL",Классические экскурсионные турыEXCURSION TOURS ITALYАдриатика - Римини,1 127,Италия
25,CITY EXPRESS RIMINI STANDARD 3 *DBL Standard,Сити-турыEXCURSION TOURS ITALYАдриатика - Римини,1 129,Италия
26,SHOPPING IN RIMINI 3 *DBL Standard,Сити-турыEXCURSION TOURS ITALYАдриатика - Римини,1 129,Италия
27,AUDI HOTEL (RIMINI) 3* SuperiorDBL Standard,Адриатика - РиминиADRIATIC COASTАдриатика - Римини,1 135,Италия
28,MUTACITA (RIMINI) 3 *DBL Standard,Адриатика - РиминиADRIATIC COASTАдриатика - Римини,1 138,Италия
29,CECCARINI 9 HOTEL (RICCIONE) 3 *DBL,Адриатика - РиччонеADRIATIC COASTАдриатика - Римини,1 140,Италия
30,SHOPPING IN RIMINI 3 *DBL Standard,Сити-турыEXCURSION TOURS ITALYАдриатика - Римини,1 149,Италия
